"Date","Approve","Disapprove"
2019-07-02,43.0833333333333,53.0833333333333
2019-07-03,43.7142857142857,52.7142857142857
2019-07-07,44.3333333333333,51.6666666666667
2019-07-08,43.5,54.3333333333333
2019-07-09,44.2,52.55625
2019-07-10,44.2857142857143,52.4285714285714
2019-07-11,44.6,52.6
2019-07-12,46.5,50.75
2019-07-13,44,51.3333333333333
2019-07-14,44.3333333333333,52
2019-07-15,44.5,52.5
2019-07-16,44.1818181818182,52.7272727272727
2019-07-17,46,51
2019-07-18,45,52
2019-07-19,46.5,50.5
2019-07-21,46,51
2019-07-22,45.5,52
2019-07-23,42.6190476190476,53.6190476190476
2019-07-24,44.375,53.125
2019-07-25,44.5,53
2019-07-26,43.5,54.5
2019-07-27,43.3333333333333,53.6666666666667
2019-07-28,43.5,52.5
2019-07-29,44.7666666666667,52.5833333333333
2019-07-30,43.9416666666667,53.0083333333333
2019-07-31,43,54.3333333333333
2019-08-01,44.6,51.6
2019-08-02,44.5,53.625
2019-08-03,42,54
2019-08-04,45,50.5
2019-08-05,44.6,53.3
2019-08-06,44.25,52.25
2019-08-07,43.5,53
2019-08-08,44.6666666666667,52.5
2019-08-09,44,52.75
2019-08-10,47,53
2019-08-11,43,52
2019-08-12,44.3333333333333,54.3333333333333
